permit_id,wo_id,permit_type,scaffold,crane,gas_test_required,isolation_certificate,issued_date,closed_date,notes
PTW-2020-0095,40000087,LIFTING,Y,Y,N,Y,2020-09-15,2020-10-20,
PTW-2020-0096,40000088,COLD_WORK,Y,N,N,Y,2020-09-15,2020-10-17,
PTW-2020-0097,40000088,LIFTING,Y,Y,N,Y,2020-09-15,2020-10-17,
PTW-2020-0098,40000089,COLD_WORK,Y,N,N,Y,2020-09-15,2020-10-23,
PTW-2020-0099,40000089,LIFTING,Y,Y,N,Y,2020-09-15,2020-10-23,
PTW-2020-0100,40000090,COLD_WORK,Y,N,Y,Y,2020-09-17,2020-10-19,
PTW-2020-0101,40000090,CONFINED_SPACE,Y,N,Y,Y,2020-09-17,2020-10-19,
PTW-2020-0102,40000091,COLD_WORK,Y,N,N,Y,2020-09-17,2020-10-21,Permit issued for TA internal inspection and cleaning on Kerosene Stripper (100-D-102) under cold work conditions; ensure all personnel use appropriate fall protection while working on scaffolds.
PTW-2020-0103,40000091,LIFTING,Y,Y,N,Y,2020-09-17,2020-10-21,
PTW-2020-0104,40000092,COLD_WORK,Y,N,N,Y,2020-09-17,2020-10-11,
PTW-2020-0105,40000092,LIFTING,Y,Y,N,Y,2020-09-17,2020-10-11,
PTW-2020-0106,40000093,COLD_WORK,N,N,N,N,2020-09-20,2020-10-21,
PTW-2020-0107,40000094,COLD_WORK,Y,N,N,Y,2020-09-22,2020-10-18,
PTW-2020-0108,40000094,LIFTING,Y,Y,N,Y,2020-09-22,2020-10-18,
PTW-2020-0109,40000095,COLD_WORK,Y,N,N,Y,2020-09-22,2020-10-22,
PTW-2020-0110,40000095,LIFTING,Y,Y,N,Y,2020-09-22,2020-10-22,
PTW-2020-0111,40000096,COLD_WORK,N,N,N,N,2020-09-22,2020-10-22,
PTW-2020-0112,40000097,COLD_WORK,Y,N,N,Y,2020-09-23,2020-10-22,
PTW-2020-0113,40000097,LIFTING,Y,Y,N,Y,2020-09-23,2020-10-22,
PTW-2020-0114,40000098,COLD_WORK,Y,N,N,Y,2020-09-24,2020-10-21,
PTW-2020-0115,40000098,LIFTING,Y,Y,N,Y,2020-09-24,2020-10-21,"Permit issued for TA open clean and inspect of crude/atmospheric residue preheat exchanger #1 (100-E-101); ensure all lifting operations follow safety protocols with scaffold and crane in place, and confirm gas test is not required before starting work."
PTW-2020-0116,40000099,COLD_WORK,Y,N,N,Y,2020-09-24,2020-10-22,
PTW-2020-0117,40000099,LIFTING,Y,Y,N,Y,2020-09-24,2020-10-22,
PTW-2020-0118,40000100,COLD_WORK,N,N,N,N,2020-09-24,2020-10-18,
PTW-2020-0119,40000101,COLD_WORK,Y,N,N,Y,2020-09-26,2020-10-22,
PTW-2020-0120,40000101,LIFTING,Y,Y,N,Y,2020-09-26,2020-10-22,
PTW-2020-0121,40000102,CONFINED_SPACE,Y,N,Y,Y,2020-09-26,2020-10-27,
PTW-2020-0122,40000102,HOT_WORK,Y,Y,Y,Y,2020-09-26,2020-10-27,
PTW-2020-0123,40000103,COLD_WORK,Y,N,N,Y,2020-09-27,2020-10-24,
PTW-2020-0124,40000103,LIFTING,Y,Y,N,Y,2020-09-27,2020-10-24,
PTW-2020-0125,40000104,COLD_WORK,N,N,N,N,2020-09-27,2020-10-25,
PTW-2021-0126,40000105,COLD_WORK,N,N,N,Y,2021-01-16,2021-02-02,
PTW-2021-0127,40000106,COLD_WORK,N,N,N,Y,2021-01-19,2021-01-29,
PTW-2021-0128,40000107,COLD_WORK,N,N,N,Y,2021-01-19,2021-02-07,
PTW-2021-0129,40000108,COLD_WORK,N,N,N,Y,2021-01-24,2021-02-05,
PTW-2021-0130,40000109,COLD_WORK,N,N,N,N,2021-02-12,2021-03-09,
PTW-2021-0131,40000110,COLD_WORK,N,N,N,N,2021-02-20,2021-03-09,
PTW-2021-0132,40000111,COLD_WORK,N,N,N,N,2021-02-26,2021-03-12,
PTW-2021-0133,40000112,COLD_WORK,N,N,N,N,2021-02-28,2021-03-17,
PTW-2021-0134,40000113,COLD_WORK,N,N,N,N,2021-03-01,2021-03-12,
PTW-2021-0135,40000114,COLD_WORK,N,N,N,N,2021-03-19,2021-04-12,
PTW-2021-0136,40000115,COLD_WORK,N,N,N,N,2021-03-25,2021-04-18,
PTW-2021-0137,40000116,COLD_WORK,N,N,N,N,2021-03-30,2021-04-22,
PTW-2021-0138,40000117,COLD_WORK,N,N,N,N,2021-03-30,2021-04-20,
PTW-2021-0139,40000118,COLD_WORK,N,N,N,N,2021-04-01,2021-04-21,
PTW-2021-0140,40000119,COLD_WORK,N,N,N,N,2021-04-01,2021-04-22,
PTW-2021-0141,40000120,COLD_WORK,N,N,N,N,2021-04-01,2021-04-21,
PTW-2021-0142,40000121,COLD_WORK,N,N,N,N,2021-04-02,2021-04-21,
PTW-2021-0143,40000122,COLD_WORK,N,N,N,N,2021-04-02,2021-04-21,Permit WO 40000122 is authorized for external inspection of the lube condition on Residue rundown cooler 100-E-112; ensure all cold work precautions are followed and verify no hot work or gas testing is conducted during the operation.
PTW-2021-0144,40000123,COLD_WORK,N,N,N,N,2021-04-02,2021-04-25,Authorize calibration of control valve 100-FV-103 under cold work conditions; ensure isolation and verify zero energy state before starting.
PTW-2021-0145,40000124,COLD_WORK,N,N,N,N,2021-04-03,2021-04-23,
PTW-2021-0146,40000125,COLD_WORK,N,N,N,N,2021-04-03,2021-04-23,
PTW-2021-0147,40000126,COLD_WORK,N,N,N,N,2021-04-04,2021-04-19,Permit granted for external inspection of lube condition on Crude/atmospheric residue preheat exchanger #2 (100-E-102); ensure all cold work precautions are followed and confirm area remains free of ignition sources.
PTW-2021-0148,40000127,COLD_WORK,N,N,N,N,2021-04-04,2021-04-27,Permit granted for cold work on Naphtha/crude interchanger (100-E-109) for external inspection of lube condition; ensure all tools are grounded to prevent static discharge during the task.
PTW-2021-0149,40000128,COLD_WORK,N,N,N,N,2021-04-04,2021-04-21,Permit issued for WO 40000128 to calibrate stripping steam flow control valve 100-FV-102; ensure isolation and verify zero energy state before starting work.
PTW-2021-0150,40000129,COLD_WORK,N,N,N,N,2021-04-05,2021-04-26,
PTW-2021-0151,40000130,COLD_WORK,N,N,N,N,2021-04-05,2021-04-21,
PTW-2021-0152,40000131,COLD_WORK,N,N,N,N,2021-04-06,2021-04-17,
PTW-2021-0153,40000132,COLD_WORK,N,N,N,N,2021-04-07,2021-04-21,
PTW-2021-0154,40000133,COLD_WORK,N,N,N,N,2021-04-08,2021-04-22,
PTW-2021-0155,40000134,COLD_WORK,N,N,N,N,2021-04-10,2021-04-25,Permit issued for cold work on overhead naphtha condenser 100-E-107 to perform external inspection of the lube condition; ensure all personnel wear appropriate PPE and verify isolation before starting the job.
PTW-2021-0156,40000135,COLD_WORK,N,N,N,N,2021-04-14,2021-04-23,
PTW-2021-0157,40000136,COLD_WORK,N,N,N,Y,2021-04-14,2021-05-02,
PTW-2021-0158,40000137,COLD_WORK,N,N,N,Y,2021-04-14,2021-05-05,
PTW-2021-0159,40000138,COLD_WORK,N,N,N,Y,2021-04-18,2021-05-08,
PTW-2021-0160,40000139,COLD_WORK,N,N,N,Y,2021-04-19,2021-05-03,Permit granted for cold work on Atmospheric residue bottoms pump A (100-P-104A) to perform vibration check and lube seal inspection; ensure all electrical sources are isolated before starting the job.
PTW-2021-0161,40000140,COLD_WORK,N,N,N,Y,2021-04-20,2021-05-14,Permit issued for replacement of bearing on Crude Charge Pump A (100-P-101A) under cold work conditions; ensure all equipment is de-energized and locked out before commencing work.
PTW-2021-0162,40000140,LIFTING,N,Y,N,Y,2021-04-20,2021-05-14,
PTW-2021-0163,40000141,COLD_WORK,N,N,N,Y,2021-04-23,2021-05-05,
PTW-2021-0164,40000142,COLD_WORK,N,N,N,Y,2021-04-23,2021-05-05,Permit issued for vibration check and lubrication seal inspection on Overhead reflux pump B (100-P-103B); ensure all electrical sources are isolated before starting work.
PTW-2021-0165,40000143,COLD_WORK,N,N,N,Y,2021-04-24,2021-05-08,
PTW-2021-0166,40000144,COLD_WORK,N,N,N,Y,2021-04-25,2021-05-07,Permit issued for vibration check and lubrication seal inspection on Atmospheric residue bottoms pump B (100-P-104B); ensure all electrical sources are isolated before commencing cold work.
PTW-2021-0167,40000145,COLD_WORK,N,N,N,Y,2021-06-04,2021-06-24,
PTW-2021-0168,40000146,COLD_WORK,N,N,N,Y,2021-07-10,2021-08-02,
PTW-2021-0169,40000147,COLD_WORK,N,N,N,Y,2021-07-17,2021-07-31,
PTW-2021-0170,40000148,COLD_WORK,N,N,N,Y,2021-07-20,2021-08-06,
PTW-2021-0171,40000149,COLD_WORK,N,N,N,Y,2021-07-21,2021-08-03,
PTW-2021-0172,40000150,COLD_WORK,Y,N,N,Y,2021-08-10,2021-08-23,
PTW-2021-0173,40000150,LIFTING,Y,Y,N,Y,2021-08-10,2021-08-23,
PTW-2021-0174,40000151,COLD_WORK,N,N,N,Y,2021-09-15,2021-10-09,
PTW-2021-0175,40000151,LIFTING,N,Y,N,Y,2021-09-15,2021-10-09,
PTW-2021-0176,40000152,COLD_WORK,Y,N,N,Y,2021-10-19,2021-11-09,Permit granted for cold work on the crude/atmospheric residue preheat exchanger #1 (100-E-101) to clean the bundle and replace the gasket; ensure scaffold is secure and all personnel follow safety protocols during the operation.
PTW-2021-0177,40000152,LIFTING,Y,Y,N,Y,2021-10-19,2021-11-09,
PTW-2021-0178,40000153,COLD_WORK,N,N,N,Y,2021-11-23,2021-12-13,
PTW-2022-0179,40000154,COLD_WORK,N,N,N,Y,2022-01-11,2022-01-30,Permit granted for cold work on Crude Charge Pump A (100-P-101A) to perform vibration check and lube seal inspection; ensure all electrical sources are isolated and verified before starting.
PTW-2022-0180,40000155,COLD_WORK,N,N,N,Y,2022-01-11,2022-02-04,Permit issued for vibration check and lubrication seal inspection on Overhead reflux pump A (100-P-103A); ensure all electrical sources are isolated and verified before commencing cold work.
PTW-2022-0181,40000156,COLD_WORK,N,N,N,Y,2022-01-12,2022-02-05,
PTW-2022-0182,40000157,COLD_WORK,N,N,N,Y,2022-01-14,2022-02-02,Authorize vibration check and lube seal inspection on Crude charge pump B (100-P-101B) under Cold Work permit; ensure all rotating equipment is properly locked out before starting the job.
PTW-2022-0183,40000158,COLD_WORK,N,N,N,Y,2022-01-14,2022-02-04,
PTW-2022-0184,40000159,COLD_WORK,N,N,N,Y,2022-01-14,2022-02-04,
PTW-2022-0185,40000160,COLD_WORK,N,N,N,Y,2022-01-16,2022-02-03,
PTW-2022-0186,40000161,COLD_WORK,N,N,N,Y,2022-01-20,2022-02-04,
PTW-2022-0187,40000162,COLD_WORK,N,N,N,Y,2022-01-22,2022-02-06,Permit issued for vibration check and lubrication seal inspection on Atmospheric residue bottoms pump B (100-P-104B); ensure all electrical sources are locked out and verified before commencing work.
PTW-2022-0188,40000163,COLD_WORK,N,N,N,Y,2022-01-22,2022-02-08,
PTW-2022-0189,40000164,COLD_WORK,N,N,N,Y,2022-01-25,2022-02-08,
PTW-2022-0190,40000165,COLD_WORK,N,N,N,Y,2022-01-26,2022-02-08,
PTW-2022-0191,40000166,COLD_WORK,Y,N,N,Y,2022-01-31,2022-02-17,
PTW-2022-0192,40000166,LIFTING,Y,Y,N,Y,2022-01-31,2022-02-17,
PTW-2022-0193,40000167,COLD_WORK,N,N,N,N,2022-02-17,2022-03-12,
PTW-2022-0194,40000168,COLD_WORK,N,N,N,N,2022-02-20,2022-03-09,
PTW-2022-0195,40000169,COLD_WORK,N,N,N,N,2022-02-23,2022-03-08,
PTW-2022-0196,40000170,COLD_WORK,N,N,N,N,2022-02-23,2022-03-17,
PTW-2022-0197,40000171,COLD_WORK,N,N,N,N,2022-02-28,2022-03-13,"Ensure the calibration of the overhead pressure control valve (100-PV-101) is performed under the Cold Work permit with continuous monitoring for potential leaks, and confirm all isolation points are secured before commencing."
PTW-2022-0198,40000172,COLD_WORK,N,N,N,N,2022-03-27,2022-04-12,
PTW-2022-0199,40000173,COLD_WORK,N,N,N,N,2022-03-28,2022-04-20,Permit granted for external inspection of lube condition on pumparound preheat exchanger #3 (100-E-103); ensure all electrical sources are isolated and verified before commencing cold work.
PTW-2022-0200,40000174,COLD_WORK,N,N,N,N,2022-03-29,2022-04-22,Authorize calibration of control valve 100-FV-101 under cold work permit; ensure isolation and verify zero energy state before starting.
PTW-2022-0201,40000175,COLD_WORK,N,N,N,N,2022-03-30,2022-04-17,
PTW-2022-0202,40000176,COLD_WORK,N,N,N,N,2022-03-30,2022-04-23,Permit granted for external inspection of lube condition on Crude/AGO product preheat exchanger #5 (100-E-105); ensure continuous monitoring for any hazardous vapors despite cold work conditions.
PTW-2022-0203,40000177,COLD_WORK,N,N,N,N,2022-03-31,2022-04-22,
PTW-2022-0204,40000178,COLD_WORK,N,N,N,N,2022-03-31,2022-04-21,
PTW-2022-0205,40000179,COLD_WORK,N,N,N,N,2022-04-01,2022-04-19,
PTW-2022-0206,40000180,COLD_WORK,N,N,N,N,2022-04-01,2022-04-24,
PTW-2022-0207,40000181,COLD_WORK,N,N,N,N,2022-04-02,2022-04-21,Approve cold work permit for external inspection of lube condition on Diesel Stripper 100-D-103; ensure all personnel wear appropriate PPE and maintain communication throughout the task.
PTW-2022-0208,40000182,COLD_WORK,N,N,N,N,2022-04-04,2022-04-21,Permit issued for external inspection of lube condition on Crude/atmospheric residue preheat exchanger #2 (100-E-102); ensure all cold work procedures are strictly followed and verify absence of ignition sources before commencing.
PTW-2022-0209,40000183,COLD_WORK,N,N,N,N,2022-04-04,2022-04-26,
PTW-2022-0210,40000184,COLD_WORK,N,N,N,N,2022-04-05,2022-04-20,
PTW-2022-0211,40000185,COLD_WORK,N,N,N,N,2022-04-05,2022-04-21,
PTW-2022-0212,40000186,COLD_WORK,N,N,N,N,2022-04-05,2022-04-23,
PTW-2022-0213,40000187,COLD_WORK,N,N,N,N,2022-04-05,2022-04-22,Permit issued for cold work to calibrate stripping steam flow control valve 100-FV-102; ensure isolation and verify zero energy before starting calibration.
PTW-2022-0214,40000188,COLD_WORK,N,N,N,N,2022-04-06,2022-04-26,Permit issued for cold work on overhead trim condenser (100-E-108) for external inspection of lube condition; ensure all personnel wear appropriate PPE and verify isolation before starting.
PTW-2022-0215,40000189,COLD_WORK,N,N,N,N,2022-04-06,2022-04-26,
PTW-2022-0216,40000190,COLD_WORK,N,N,N,N,2022-04-06,2022-04-21,
PTW-2022-0217,40000191,COLD_WORK,N,N,N,N,2022-04-08,2022-04-20,
PTW-2022-0218,40000192,COLD_WORK,N,N,N,N,2022-04-08,2022-04-24,
PTW-2022-0219,40000193,COLD_WORK,N,N,N,N,2022-04-09,2022-04-22,Permit issued for cold work to calibrate the Naphtha pumparound flow control valve (100-FV-103); ensure isolation and verify zero energy state before starting calibration.
PTW-2022-0220,40000194,COLD_WORK,N,N,N,N,2022-05-05,2022-05-20,
PTW-2022-0221,40000195,COLD_WORK,N,N,N,Y,2022-07-10,2022-07-31,
PTW-2022-0222,40000196,COLD_WORK,N,N,N,Y,2022-07-11,2022-08-01,
PTW-2022-0223,40000197,COLD_WORK,N,N,N,Y,2022-07-21,2022-08-02,
PTW-2022-0224,40000198,COLD_WORK,N,N,N,Y,2022-07-23,2022-08-05,
PTW-2022-0225,40000199,COLD_WORK,N,N,N,Y,2022-10-13,2022-11-06,
PTW-2022-0226,40000200,COLD_WORK,N,N,N,Y,2022-10-15,2022-11-04,Permit issued for vibration check and lubrication seal inspection on Overhead reflux pump B (100-P-103B); ensure all electrical sources are isolated and verified before starting work.
PTW-2022-0227,40000201,COLD_WORK,N,N,N,Y,2022-10-15,2022-11-06,
PTW-2022-0228,40000202,COLD_WORK,N,N,N,Y,2022-10-19,2022-11-03,
PTW-2022-0229,40000203,COLD_WORK,N,N,N,Y,2022-10-19,2022-11-09,
PTW-2022-0230,40000204,COLD_WORK,N,N,N,Y,2022-10-20,2022-11-08,
PTW-2022-0231,40000205,COLD_WORK,N,N,N,Y,2022-10-23,2022-11-03,
PTW-2022-0232,40000206,COLD_WORK,N,N,N,Y,2022-10-25,2022-11-05,
PTW-2023-0233,40000207,COLD_WORK,N,N,N,Y,2023-01-06,2023-01-19,
PTW-2023-0234,40000207,LIFTING,N,Y,N,Y,2023-01-06,2023-01-19,
PTW-2023-0235,40000208,COLD_WORK,N,N,N,Y,2023-01-10,2023-01-31,Permit issued for vibration check and lube seal inspection on Crude Charge Pump A (100-P-101A); ensure all electrical sources are locked out and verified before starting work.
PTW-2023-0236,40000209,COLD_WORK,N,N,N,Y,2023-01-13,2023-02-05,
PTW-2023-0237,40000210,COLD_WORK,N,N,N,Y,2023-01-20,2023-02-01,
