wo_id,tag_sap,wo_type,created_date,basic_start,basic_finish,actual_finish,status,short_text,long_text,planned_hours,actual_hours,crew,work_center,priority,ta_id
40000014,100-PV-102,PM02,2019-02-17,2019-03-12,2019-03-14,2019-03-15,CLSD,CALIBRATE CONTROL VALVE,Calibrated fuel gas pressure control valve PV-102 as per schedule. Verified setpoints and response times within acceptable limits. No leaks or mechanical issues detected during inspection. Equipment operating normally after calibration.,3.3,4.0,1 instrument tech,INST,4,
40000015,100-LV-101,PM02,2019-02-19,2019-03-07,2019-03-09,2019-03-09,CLSD,CALIBRATE CONTROL VALVE,"Calibrated LV-101 control valve for overhead accumulator level. Verified valve response and signal accuracy. No deviations found, valve operating within normal parameters.",2.0,1.7,1 instrument tech,INST,3,
40000016,100-TV-101,PM02,2019-02-26,2019-03-15,2019-03-16,2019-03-15,CLSD,CALIBRATE CONTROL VALVE,Calibrated desalter temperature control valve TV-101 to ensure accurate temperature regulation. Verified valve response and adjusted setpoints as required. Confirmed stable operation within specified parameters.,2.7,2.5,1 instrument tech,INST,3,
40000017,100-PV-101,PM02,2019-02-27,2019-03-11,2019-03-12,2019-03-11,CLSD,CALIBRATE CONTROL VALVE,Calibrated column overhead pressure control valve PV-101 as scheduled. Verified setpoints and response accuracy. Valve operated within specified parameters during testing. No abnormalities detected.,3.7,3.7,1 instrument tech,INST,3,
40000018,100-D-101,PM02,2019-03-24,2019-04-17,2019-04-19,2019-04-18,CLSD,EXT INSP LUBE CONDITION,Performed external inspection of overhead reflux drum D-101. Verified lube condition; no leaks or contamination found. Equipment remained healthy and operational. No abnormalities detected during service.,4.4,4.3,"1 inspector, 1 fitter",INSP,3,
40000019,100-E-111,PM02,2019-03-27,2019-04-19,2019-04-20,2019-04-19,CLSD,EXT INSP LUBE CONDITION,"External inspection of lube condition completed on diesel product / BFW exchanger E-111. No abnormalities found, lubrication system operating within normal parameters. Equipment remains healthy and fully functional.",5.9,5.1,"1 inspector, 1 fitter",INSP,3,
40000020,100-D-103,PM02,2019-03-28,2019-04-19,2019-04-20,2019-04-21,CLSD,EXT INSP LUBE CONDITION,Performed external inspection and checked lube condition on Diesel Stripper D-103. No abnormalities found. Equipment operating within normal parameters. Job closed as planned.,5.6,6.8,"1 inspector, 1 fitter",INSP,3,
40000021,100-D-102,PM02,2019-03-30,2019-04-18,2019-04-19,2019-04-20,CLSD,EXT INSP LUBE CONDITION,External inspection of kerosene stripper D-102 completed. Lube condition checked and found within acceptable limits. No abnormalities detected during inspection. Equipment operating normally.,5.0,5.0,"1 inspector, 1 fitter",INSP,4,
40000022,100-V-101,PM02,2019-03-31,2019-04-10,2019-04-11,2019-04-12,CLSD,EXT INSP LUBE CONDITION,Performed external inspection of lube system on Electrostatic desalter V-101. Checked for signs of wall loss and corrosion. No leaks or abnormalities found. Equipment operating within normal parameters.,4.7,5.4,"1 inspector, 1 fitter",INSP,4,
40000023,100-FV-101,PM02,2019-04-01,2019-04-20,2019-04-22,2019-04-21,CLSD,CALIBRATE CONTROL VALVE,Calibrated FV-101 control valve to correct flow deviations. Valve was passing but required adjustment to meet setpoint. Verified signal response and confirmed stable operation.,2.1,2.0,1 instrument tech,INST,3,
40000024,100-E-104,PM02,2019-04-03,2019-04-21,2019-04-23,2019-04-22,CLSD,EXT INSP LUBE CONDITION,Performed external inspection of lube condition on crude/diesel pumparound preheat exchanger #4. No abnormalities detected. Lubrication system clean and functioning within normal parameters. No leaks or contamination observed.,7.2,6.5,"1 inspector, 1 fitter",INSP,4,
40000025,100-E-112,PM02,2019-04-04,2019-04-20,2019-04-21,2019-04-22,CLSD,EXT INSP LUBE CONDITION,"External inspection of lube condition completed on residue rundown cooler E-112. No abnormalities found, lubrication system operating within normal parameters. Equipment remains healthy and fit for service.",6.8,7.5,"1 inspector, 1 fitter",INSP,4,
40000026,100-H-101,PM02,2019-04-04,2019-04-21,2019-04-22,2019-04-22,CLSD,EXT INSP LUBE CONDITION,External inspection of lube system completed. No leaks or contamination found. Lubricant condition verified as healthy. Equipment operating within normal parameters.,7.0,5.7,"1 inspector, 1 fitter",INSP,3,
40000027,100-C-101,PM02,2019-04-06,2019-04-16,2019-04-17,2019-04-17,CLSD,EXT INSP LUBE CONDITION,External inspection of the lube system on C-101 completed. No leaks or abnormalities detected. Lubrication condition confirmed healthy. All components functioning within normal parameters.,5.5,4.8,"1 inspector, 1 fitter",INSP,3,
40000028,100-E-101,PM02,2019-04-06,2019-04-18,2019-04-20,2019-04-20,CLSD,EXT INSP LUBE CONDITION,External inspection performed on lube condition of crude preheat exchanger E-101. No abnormalities found. Equipment cleaned to address fast fouling issues. Unit returned to service without delay.,7.3,7.1,"1 inspector, 1 fitter",INSP,3,
40000029,100-E-106,PM02,2019-04-06,2019-04-23,2019-04-24,2019-04-25,CLSD,EXT INSP LUBE CONDITION,External inspection of lube condition completed on crude preheat exchanger E-106. No abnormalities found. Equipment operating within normal parameters. No further action required.,7.0,8.1,"1 inspector, 1 fitter",INSP,4,
40000030,100-E-109,PM02,2019-04-06,2019-04-26,2019-04-27,2019-04-26,CLSD,EXT INSP LUBE CONDITION,"External inspection of lube condition performed on E-109. Minor fouling observed, cleaned during inspection. No leaks or abnormalities detected. Equipment returned to service in normal condition.",5.8,5.6,"1 inspector, 1 fitter",INSP,4,
40000031,100-FV-102,PM02,2019-04-06,2019-04-21,2019-04-23,2019-04-23,CLSD,CALIBRATE CONTROL VALVE,Calibrated stripping steam flow control valve FV-102 to ensure accurate modulation of column stripping steam. Valve response and setpoints verified and adjusted as per specifications. No abnormalities detected during calibration.,3.9,3.3,1 instrument tech,INST,4,
40000032,100-E-110,PM02,2019-04-07,2019-04-18,2019-04-19,2019-04-18,CLSD,EXT INSP LUBE CONDITION,Performed external inspection of kerosene stripper reboiler E-110. Observed minor wall thinning consistent with expected wear. Lubrication system checked and found in good condition. No immediate repairs required.,6.9,5.8,"1 inspector, 1 fitter",INSP,3,
40000033,100-E-102,PM02,2019-04-08,2019-04-19,2019-04-20,2019-04-21,CLSD,EXT INSP LUBE CONDITION,Performed external inspection of lube condition on crude preheat exchanger E-102. No leaks or contamination observed. Lubrication system functioning within normal parameters. Equipment showed signs of fast fouling; monitoring recommended.,4.1,4.0,"1 inspector, 1 fitter",INSP,3,
40000034,100-E-105,PM02,2019-04-08,2019-04-22,2019-04-24,2019-04-25,CLSD,EXT INSP LUBE CONDITION,External inspection of lube condition completed on crude/AGO product preheat exchanger #5 (E-105). No abnormalities or leaks detected. Lubrication levels verified and within acceptable limits. Equipment operating normally with no signs of fouling at this time.,6.3,5.4,"1 inspector, 1 fitter",INSP,3,
40000035,100-FV-103,PM02,2019-04-08,2019-04-22,2019-04-23,2019-04-23,CLSD,CALIBRATE CONTROL VALVE,Calibrated FV-103 control valve on naphtha pumparound system. Verified valve response and adjusted setpoints to meet operational parameters. No leaks or faults detected during calibration. Equipment returned to service within specifications.,2.4,2.7,1 instrument tech,INST,3,
40000036,100-D-104,PM02,2019-04-09,2019-04-20,2019-04-22,2019-04-22,CLSD,EXT INSP LUBE CONDITION,"External inspection of lube condition completed on residue flash drum D-104. No abnormalities found, lubrication system operating within normal parameters. Equipment remains healthy and fit for service.",7.5,8.0,"1 inspector, 1 fitter",INSP,4,
40000037,100-E-103,PM02,2019-04-09,2019-04-20,2019-04-21,2019-04-20,CLSD,EXT INSP LUBE CONDITION,Performed external inspection of lube condition on crude/kerosene pumparound preheat exchanger #3. No abnormalities found. Lubrication levels and quality verified satisfactory. Equipment operating within normal parameters.,5.7,4.4,"1 inspector, 1 fitter",INSP,3,
40000038,100-E-107,PM02,2019-04-11,2019-04-24,2019-04-25,2019-04-25,CLSD,EXT INSP LUBE CONDITION,Performed external inspection of lubrication system on overhead naphtha condenser E-107. Noted slow fouling signs on condenser surfaces. Lubrication condition verified and found within operational limits. No immediate action required.,5.9,5.7,"1 inspector, 1 fitter",INSP,3,
40000039,100-E-108,PM02,2019-04-14,2019-04-25,2019-04-27,2019-04-28,CLSD,EXT INSP LUBE CONDITION,External inspection of overhead trim condenser completed. Lube condition checked and found within normal parameters. No abnormalities detected during inspection. Equipment is healthy and operating as expected.,5.9,6.0,"1 inspector, 1 fitter",INSP,4,
40000040,100-P-101A,PM02,2019-07-07,2019-07-28,2019-07-30,2019-07-30,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check on lube seal of crude charge pump A (P-101A). No abnormal vibration detected. Seal condition inspected and found within acceptable limits. Equipment operating normally during inspection.,4.1,3.8,"1 fitter, 1 inspector",MECH,4,
40000041,100-P-102A,PM02,2019-07-10,2019-08-01,2019-08-02,2019-08-02,CLSD,VIB CHECK LUBE SEAL INSP,"Performed vibration check and inspected lubrication seal on Desalter water pump A (P-102A). Found minor seal leakage, monitored condition. No immediate action required.",4.0,3.7,"1 fitter, 1 inspector",MECH,3,
40000042,100-P-103A,PM02,2019-07-19,2019-08-02,2019-08-03,2019-08-02,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check on overhead reflux pump A (P-103A). Inspected lubrication and seal condition. No abnormalities detected during inspection. Equipment operating within normal parameters.,4.7,5.0,"1 fitter, 1 inspector",MECH,4,
40000043,100-P-105A,PM02,2019-07-22,2019-08-04,2019-08-06,2019-08-07,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check and inspected lube seal on Naphtha product pump A (P-105A) during naphtha rundown. No abnormalities detected. Seal showed no signs of leakage or wear. Equipment operating within normal parameters.,4.1,3.9,"1 fitter, 1 inspector",MECH,3,
40000044,100-P-101A,PM01,2019-09-01,2019-09-18,2019-09-21,2019-09-20,CLSD,REPL BRG DE COUPLE,"High vibration levels detected on pump P-101A prior to maintenance. Replaced bearings and decoupled as planned. Vibration readings dropped significantly after bearing replacement, confirming successful intervention. Equipment operating within normal parameters post-job.",13.4,14.5,"2 fitters, 1 millwright",MECH,1,
40000045,100-P-104B,PM02,2019-10-12,2019-11-04,2019-11-06,2019-11-07,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check and inspected lube seal on atmospheric residue bottoms pump B. No abnormalities detected. Equipment operated within normal parameters during inspection.,3.2,2.6,"1 fitter, 1 inspector",MECH,4,
40000046,100-P-103B,PM02,2019-10-13,2019-11-03,2019-11-05,2019-11-05,CLSD,VIB CHECK LUBE SEAL INSP,"Performed vibration check on overhead reflux pump B. Inspected lubrication and seal condition. No abnormalities found, equipment operating within normal parameters.",4.4,4.4,"1 fitter, 1 inspector",MECH,4,
40000047,100-P-101B,PM02,2019-10-14,2019-11-01,2019-11-02,2019-11-02,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check on crude charge pump B (P-101B). Inspected lube seal for wear and leaks. No abnormalities detected; pump operating within normal parameters.,4.3,4.0,"1 fitter, 1 inspector",MECH,4,
40000048,100-P-102B,PM02,2019-10-14,2019-11-02,2019-11-04,2019-11-04,CLSD,VIB CHECK LUBE SEAL INSP,"Performed vibration check on lube seal of desalter water pump B (P-102B). No abnormalities detected. Seal condition healthy, no leaks observed. Equipment operating within normal parameters.",4.5,5.0,"1 fitter, 1 inspector",MECH,4,
40000049,100-P-104A,PM02,2019-10-15,2019-11-03,2019-11-04,2019-11-03,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check and inspected lube seal on pump P-104A. No abnormalities detected. Equipment operating within normal parameters. Maintenance completed as scheduled.,4.3,3.8,"1 fitter, 1 inspector",MECH,3,
40000050,100-P-106B,PM02,2019-10-19,2019-11-06,2019-11-07,2019-11-06,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check and inspected lube seal on Diesel product pump B (P-106B). No abnormalities detected. Equipment operating within normal parameters.,3.1,2.6,"1 fitter, 1 inspector",MECH,3,
40000051,100-P-106A,PM02,2019-10-20,2019-11-05,2019-11-06,2019-11-06,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check and inspected lube seal on Diesel product pump A (P-106A). No abnormalities detected. Equipment operated within normal parameters during diesel rundown. Maintenance completed as scheduled.,5.0,6.1,"1 fitter, 1 inspector",MECH,3,
40000052,100-P-105B,PM02,2019-10-23,2019-11-05,2019-11-06,2019-11-07,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check and lubrication seal inspection on Naphtha product pump B (P-105B) during naphtha rundown. No abnormalities detected. Equipment operating within normal parameters.,3.0,3.4,"1 fitter, 1 inspector",MECH,4,
40000053,100-P-102A,PM01,2019-10-24,2019-11-05,2019-11-06,2019-11-07,CLSD,REPL MECH SEAL,"Seal leakage observed on desalter water pump A (P-102A) prior to replacement. Seal pot level was low, indicating seal failure. Mechanical seal was replaced successfully on 2019-11-05. Pump tested and confirmed leak-free after service.",6.9,8.2,2 fitters,MECH,1,
40000054,100-P-103A,PM01,2019-12-30,2020-01-14,2020-01-17,2020-01-17,CLSD,REPL BRG DE COUPLE,"High vibration levels were recorded on overhead reflux pump A prior to bearing replacement. Bearings were replaced on 2020-01-14 as planned. Vibration readings dropped significantly after the bearing replacement, confirming the issue was resolved. Equipment returned to normal operating conditions.",8.9,9.5,"2 fitters, 1 millwright",MECH,1,
40000055,100-P-101A,PM02,2020-01-14,2020-01-28,2020-01-30,2020-01-30,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check on lube seal of crude charge pump A (P-101A). Inspected seal condition and mounting integrity. Vibration levels within acceptable limits. No abnormalities detected.,4.7,4.7,"1 fitter, 1 inspector",MECH,3,
40000056,100-P-102A,PM02,2020-01-14,2020-02-01,2020-02-03,2020-02-03,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check and inspected lube seal on desalter water pump A (P-102A). No abnormalities detected during inspection. Seal showed no signs of leakage or wear. Equipment operating within normal parameters.,3.5,3.2,"1 fitter, 1 inspector",MECH,4,
40000057,100-P-103A,PM02,2020-01-16,2020-02-02,2020-02-03,2020-02-03,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check on overhead reflux pump A (P-103A). Inspected lubrication and seal condition. No abnormalities detected. Equipment operating within normal parameters.,3.3,3.9,"1 fitter, 1 inspector",MECH,4,
40000058,100-P-105A,PM02,2020-01-18,2020-02-04,2020-02-05,2020-02-05,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check and inspected lube seal on Naphtha product pump A (P-105A) during naphtha rundown. No abnormalities detected. Seal showed no signs of leakage or wear. Equipment operating within normal parameters.,4.4,3.4,"1 fitter, 1 inspector",MECH,3,
40000059,100-LV-101,PM02,2020-02-18,2020-03-07,2020-03-09,2020-03-08,CLSD,CALIBRATE CONTROL VALVE,Calibrated reflux drum level control valve LV-101 for overhead accumulator level. Verified valve response and adjusted setpoints to ensure accurate level control. No abnormalities detected during calibration. Equipment operating within normal parameters.,3.3,3.7,1 instrument tech,INST,4,
40000060,100-PV-101,PM02,2020-02-24,2020-03-11,2020-03-12,2020-03-12,CLSD,CALIBRATE CONTROL VALVE,Calibrated column overhead pressure control valve PV-101 as scheduled. Verified setpoints and adjusted actuator response. Valve operated within specified parameters after calibration. No leaks or mechanical issues detected.,2.2,2.6,1 instrument tech,INST,3,
40000061,100-LV-102,PM02,2020-02-26,2020-03-08,2020-03-09,2020-03-09,CLSD,CALIBRATE CONTROL VALVE,Calibrated column bottoms level control valve LV-102 to ensure accurate level regulation. Verified valve response and adjusted setpoints as required. Valve operated within specified parameters after calibration.,3.2,3.1,1 instrument tech,INST,4,
40000062,100-TV-101,PM02,2020-02-28,2020-03-15,2020-03-16,2020-03-17,CLSD,CALIBRATE CONTROL VALVE,Calibrated desalter temperature control valve TV-101 to ensure accurate temperature regulation. Verified valve response and adjusted setpoints as required. Valve operated within specified parameters after calibration.,3.1,2.7,1 instrument tech,INST,4,
40000063,100-PV-102,PM02,2020-03-02,2020-03-12,2020-03-14,2020-03-14,CLSD,CALIBRATE CONTROL VALVE,Calibrated fuel gas pressure control valve PV-102 to ensure accurate pressure regulation. Verified setpoints and adjusted actuator response. Valve operated within specified parameters after calibration. No issues detected during service.,2.3,2.1,1 instrument tech,INST,4,
40000064,100-P-105A,PM01,2020-03-29,2020-04-16,2020-04-17,2020-04-17,CLSD,REPL MECH SEAL,"Seal leakage was observed prior to replacement, with seal pot level consistently dropping below acceptable limits. Mechanical seal was replaced to restore proper sealing and prevent further leakage. Equipment was tested and confirmed leak-free after the change-out.",7.5,6.0,2 fitters,MECH,1,
40000065,100-FV-102,PM02,2020-03-30,2020-04-21,2020-04-23,2020-04-23,CLSD,CALIBRATE CONTROL VALVE,Calibrated stripping steam flow control valve FV-102 to ensure accurate modulation of column stripping steam. Verified valve response and adjusted actuator settings. Valve operated within specified parameters after calibration.,4.0,5.0,1 instrument tech,INST,4,
40000066,100-FV-103,PM02,2020-03-30,2020-04-22,2020-04-24,2020-04-24,CLSD,CALIBRATE CONTROL VALVE,Calibrated FV-103 control valve on naphtha pumparound system. Verified valve response and signal accuracy. No deviations found; valve operating within specified parameters.,2.6,3.0,1 instrument tech,INST,4,
40000067,100-FV-101,PM02,2020-04-09,2020-04-20,2020-04-21,2020-04-21,CLSD,CALIBRATE CONTROL VALVE,Calibrated FV-101 control valve to ensure accurate flow regulation of crude charge. Valve was passing without leaks during testing. All parameters verified and within operational limits. Job completed and valve returned to service.,3.5,3.0,1 instrument tech,INST,4,
40000068,100-P-101B,PM02,2020-07-08,2020-08-01,2020-08-03,2020-08-03,CLSD,VIB CHECK LUBE SEAL INSP,"Performed vibration check and inspected lube seal on crude charge pump B (P-101B). No abnormalities detected, seal condition healthy. Equipment operating within normal parameters.",3.6,4.3,"1 fitter, 1 inspector",MECH,3,
40000069,100-P-101A,PM02,2020-07-10,2020-07-28,2020-07-29,2020-07-29,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check on lube seal of crude charge pump P-101A. No abnormal vibration detected. Seal condition within acceptable limits. Maintenance completed as scheduled.,4.0,4.1,"1 fitter, 1 inspector",MECH,3,
40000070,100-P-103A,PM02,2020-07-12,2020-08-02,2020-08-04,2020-08-04,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check on overhead reflux pump P-103A. Inspected lubrication and mechanical seal for wear and leaks. No abnormalities detected during inspection. Equipment operating within normal parameters.,3.8,4.3,"1 fitter, 1 inspector",MECH,4,
40000071,100-P-105B,PM02,2020-07-13,2020-08-05,2020-08-07,2020-08-07,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check and inspected lube seal on Naphtha product pump B during naphtha rundown. No abnormalities detected. Equipment operating within normal parameters.,3.5,2.9,"1 fitter, 1 inspector",MECH,4,
40000072,100-P-106B,PM02,2020-07-14,2020-08-06,2020-08-08,2020-08-08,CLSD,VIB CHECK LUBE SEAL INSP,"Performed vibration check and inspected lube seal on diesel product pump B (P-106B). No abnormalities detected, equipment operating within normal parameters. Routine maintenance completed as scheduled.",3.4,3.9,"1 fitter, 1 inspector",MECH,4,
40000073,100-P-102A,PM02,2020-07-15,2020-08-01,2020-08-02,2020-08-01,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check and inspected lube seal on desalter water pump P-102A. Noted minor seal leakage; monitored condition during operation. No immediate action required.,3.7,4.5,"1 fitter, 1 inspector",MECH,3,
40000074,100-P-102B,PM02,2020-07-15,2020-08-02,2020-08-04,2020-08-05,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check and inspected lube seal on desalter water pump B. No abnormalities detected. Equipment operating within normal parameters. Maintenance completed as scheduled.,4.7,5.4,"1 fitter, 1 inspector",MECH,3,
40000075,100-P-104A,PM02,2020-07-16,2020-08-03,2020-08-04,2020-08-03,CLSD,VIB CHECK LUBE SEAL INSP,"Performed vibration check and inspected lube seal on Atmospheric residue bottoms pump A (P-104A). No abnormalities detected, equipment operating within normal parameters. Seal condition verified healthy, no leaks observed. Maintenance completed as scheduled.",4.6,5.4,"1 fitter, 1 inspector",MECH,3,
40000076,100-P-103B,PM02,2020-07-20,2020-08-03,2020-08-05,2020-08-05,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check and inspected lubrication seal on overhead reflux pump B (P-103B). No abnormalities detected. Equipment operating within normal parameters.,3.7,3.5,"1 fitter, 1 inspector",MECH,3,
40000077,100-P-104B,PM02,2020-07-21,2020-08-04,2020-08-05,2020-08-06,CLSD,VIB CHECK LUBE SEAL INSP,"Performed vibration check and inspected lube seal on atmospheric residue bottoms pump B (P-104B). No abnormalities detected, seal condition healthy. Equipment operating within normal parameters during service.",3.0,2.9,"1 fitter, 1 inspector",MECH,3,
40000078,100-P-106A,PM02,2020-07-23,2020-08-05,2020-08-06,2020-08-05,CLSD,VIB CHECK LUBE SEAL INSP,"Performed vibration check on diesel product pump A (P-106A). Inspected lubrication and seal condition. No abnormalities detected, unit running healthy.",4.8,3.7,"1 fitter, 1 inspector",MECH,4,
40000079,100-P-105A,PM02,2020-07-25,2020-08-04,2020-08-06,2020-08-07,CLSD,VIB CHECK LUBE SEAL INSP,Performed vibration check and inspected lube seal on Naphtha product pump A (P-105A) during naphtha rundown. No abnormal vibrations detected. Seal showed minor wear but no active leaks. Equipment operating within normal parameters.,4.3,3.6,"1 fitter, 1 inspector",MECH,3,
40000080,100-PSV-105,PM03,2020-09-03,2020-10-07,2020-10-10,2020-10-09,CLSD,PSV POP TEST CERT,"Performed pop test on PSV-105 as per schedule. Valve operated within set pressure limits, no leaks detected. Certification completed and documented. Equipment confirmed healthy and operational.",4.9,4.4,"1 tech, 1 inspector",INSP,1,TA-2020
40000081,100-E-108,PM03,2020-09-05,2020-10-10,2020-10-18,2020-10-19,CLSD,TA OPEN CLEAN INSPECT RGKT,Performed cleaning and inspection of the two-bundle overhead trim condenser E-108. Verified integrity of tubes and removed any deposits. No leaks or damages found. Equipment returned to service in healthy condition.,20.7,23.6,"3 fitters, 1 inspector, 1 crane op",MECH,1,TA-2020
40000082,100-V-101,PM03,2020-09-05,2020-10-08,2020-10-14,2020-10-14,CLSD,TA INTERNAL INSP CLEAN,Performed internal inspection and cleaning of electrostatic desalter vessel. Removed accumulated deposits and checked for wall loss. No significant corrosion found. Equipment returned to service.,45.6,46.9,"3 fitters, 2 inspectors, 1 scaffolder",MECH,1,TA-2020
40000083,100-PSV-106,PM03,2020-09-08,2020-10-08,2020-10-11,2020-10-11,CLSD,PSV POP TEST CERT,"Performed pop test on PSV-106 residue flash drum as per certification requirements. Valve operated within set pressure limits, no leaks detected. Test completed and documented on 2020-10-08.",4.3,4.0,"1 tech, 1 inspector",INSP,1,TA-2020
40000084,100-E-106,PM03,2020-09-11,2020-10-08,2020-10-12,2020-10-13,CLSD,TA OPEN CLEAN INSPECT RGKT,Performed cleaning of bundle on both shell and tube sides due to heavy fouling. Inspected exchanger thoroughly for damage and leaks. Replaced all gaskets to ensure proper sealing. Job completed and equipment returned to service.,20.8,24.6,"3 fitters, 1 inspector, 1 crane op",MECH,1,TA-2020
40000085,100-E-109,PM03,2020-09-11,2020-10-11,2020-10-19,2020-10-18,CLSD,TA OPEN CLEAN INSPECT RGKT,Performed thorough cleaning of Naphtha/Crude interchanger E-109 to remove fouling deposits. Inspected tube bundle and shell for signs of corrosion and damage. RGKT readings taken and recorded; no abnormalities found. Equipment returned to service in good condition.,23.6,19.1,"3 fitters, 1 inspector, 1 crane op",MECH,1,TA-2020
