tag_dwg,valve_tag,position,isolation_type,pid_doc_id
101-E-011,101-XV-E-011-DR,DRAIN,BLOCK,100-PID-006
101-E-011,101-XV-E-011-VT,VENT,BLOCK,100-PID-006
101-E-012,101-XV-E-012-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-005
101-E-012,101-XV-E-012-OUT,OUTLET,DOUBLE_BLOCK_BLEED,100-PID-005
101-E-012,101-XV-E-012-BY,BYPASS,BLOCK,100-PID-005
101-E-012,101-XV-E-012-DR,DRAIN,BLOCK,100-PID-005
101-E-012,101-XV-E-012-VT,VENT,BLOCK,100-PID-005
101-P-001A,101-XV-P-001A-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-001
101-P-001A,101-XV-P-001A-OUT,OUTLET,BLOCK,100-PID-001
101-P-001A,101-XV-P-001A-DR,DRAIN,BLOCK,100-PID-001
101-P-001B,101-XV-P-001B-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-001
101-P-001B,101-XV-P-001B-OUT,OUTLET,BLOCK,100-PID-001
101-P-001B,101-XV-P-001B-DR,DRAIN,BLOCK,100-PID-001
101-P-002A,101-XV-P-002A-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-002
101-P-002A,101-XV-P-002A-OUT,OUTLET,BLOCK,100-PID-002
101-P-002A,101-XV-P-002A-DR,DRAIN,BLOCK,100-PID-002
101-P-002B,101-XV-P-002B-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-002
101-P-002B,101-XV-P-002B-OUT,OUTLET,BLOCK,100-PID-002
101-P-002B,101-XV-P-002B-DR,DRAIN,BLOCK,100-PID-002
101-P-003A,101-XV-P-003A-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-004
101-P-003A,101-XV-P-003A-OUT,OUTLET,BLOCK,100-PID-004
101-P-003A,101-XV-P-003A-DR,DRAIN,BLOCK,100-PID-004
101-P-003B,101-XV-P-003B-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-004
101-P-003B,101-XV-P-003B-OUT,OUTLET,BLOCK,100-PID-004
101-P-003B,101-XV-P-003B-DR,DRAIN,BLOCK,100-PID-004
101-P-004A,101-XV-P-004A-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-005
101-P-004A,101-XV-P-004A-OUT,OUTLET,BLOCK,100-PID-005
101-P-004A,101-XV-P-004A-DR,DRAIN,BLOCK,100-PID-005
101-P-004B,101-XV-P-004B-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-005
101-P-004B,101-XV-P-004B-OUT,OUTLET,BLOCK,100-PID-005
101-P-004B,101-XV-P-004B-DR,DRAIN,BLOCK,100-PID-005
101-P-005A,101-XV-P-005A-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-006
101-P-005A,101-XV-P-005A-OUT,OUTLET,BLOCK,100-PID-006
101-P-005A,101-XV-P-005A-DR,DRAIN,BLOCK,100-PID-006
101-P-005B,101-XV-P-005B-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-006
101-P-005B,101-XV-P-005B-OUT,OUTLET,BLOCK,100-PID-006
101-P-005B,101-XV-P-005B-DR,DRAIN,BLOCK,100-PID-006
101-P-006A,101-XV-P-006A-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-006
101-P-006A,101-XV-P-006A-OUT,OUTLET,BLOCK,100-PID-006
101-P-006A,101-XV-P-006A-DR,DRAIN,BLOCK,100-PID-006
101-P-006B,101-XV-P-006B-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-006
101-P-006B,101-XV-P-006B-OUT,OUTLET,BLOCK,100-PID-006
101-P-006B,101-XV-P-006B-DR,DRAIN,BLOCK,100-PID-006
101-H-001,101-XV-H-001-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-003
101-H-001,101-XV-H-001-OUT,OUTLET,DOUBLE_BLOCK_BLEED,100-PID-003
101-H-001,101-XV-H-001-DR,DRAIN,BLIND,100-PID-003
101-H-001,101-XV-H-001-VT,VENT,BLOCK,100-PID-003
101-C-001,101-XV-C-001-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-005
101-C-001,101-XV-C-001-OUT,OUTLET,BLOCK,100-PID-005
101-C-001,101-XV-C-001-DR,DRAIN,BLIND,100-PID-005
101-C-001,101-XV-C-001-VT,VENT,BLOCK,100-PID-005
101-C-001,101-XV-C-001-BY,BYPASS,BLOCK,100-PID-005
101-V-001,101-XV-V-001-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-002
101-V-001,101-XV-V-001-OUT,OUTLET,BLOCK,100-PID-002
101-V-001,101-XV-V-001-DR,DRAIN,BLOCK,100-PID-002
101-V-001,101-XV-V-001-VT,VENT,BLOCK,100-PID-002
101-D-001,101-XV-D-001-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-004
101-D-001,101-XV-D-001-OUT,OUTLET,BLOCK,100-PID-004
101-D-001,101-XV-D-001-DR,DRAIN,BLOCK,100-PID-004
101-D-001,101-XV-D-001-VT,VENT,BLOCK,100-PID-004
103-D-012,101-XV-D-012-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-005
103-D-012,101-XV-D-012-OUT,OUTLET,BLOCK,100-PID-005
103-D-012,101-XV-D-012-DR,DRAIN,BLOCK,100-PID-005
103-D-012,101-XV-D-012-VT,VENT,BLOCK,100-PID-005
101-D-003,101-XV-D-003-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-005
101-D-003,101-XV-D-003-OUT,OUTLET,BLOCK,100-PID-005
101-D-003,101-XV-D-003-DR,DRAIN,BLOCK,100-PID-005
101-D-003,101-XV-D-003-VT,VENT,BLOCK,100-PID-005
101-D-004,101-XV-D-004-IN,INLET,DOUBLE_BLOCK_BLEED,100-PID-005
101-D-004,101-XV-D-004-OUT,OUTLET,BLOCK,100-PID-005
101-D-004,101-XV-D-004-DR,DRAIN,BLOCK,100-PID-005
101-D-004,101-XV-D-004-VT,VENT,BLOCK,100-PID-005
