wo_id,material_no,material_desc,qty,unit
40000029,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000030,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000031,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000032,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000033,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000034,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000035,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000036,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000037,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000038,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000039,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000040,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000040,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000041,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000041,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000042,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000042,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000043,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000043,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000044,BRG-6309-2RS,Pump bearing,2.0,EA
40000044,OIL-ISO-VG46,ISO VG 46 turbine oil,8.0,L
40000045,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000045,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000046,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000046,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000047,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000047,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000048,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000048,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000049,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000049,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000050,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000050,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000051,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000051,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000052,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000052,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000053,SEAL-C-45-A,Cartridge mechanical seal,1.0,EA
40000053,O-RING-VIT-2,Viton O-ring kit,1.0,KIT
40000054,BRG-NU309,Pump bearing,2.0,EA
40000054,OIL-ISO-VG46,ISO VG 46 turbine oil,8.0,L
40000055,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000055,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000056,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000056,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000057,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000057,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000058,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000058,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000059,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000060,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000061,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000062,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000063,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000064,SEAL-C-35-A,Cartridge mechanical seal,1.0,EA
40000064,O-RING-VIT-2,Viton O-ring kit,1.0,KIT
40000065,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000066,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000067,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000068,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000068,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000069,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000069,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000070,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000070,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000071,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000071,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000072,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000072,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000073,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000073,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000074,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000074,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000075,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000075,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000076,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000076,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000077,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000077,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000078,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000078,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000079,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000079,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000080,PSV-GASK-150-3,PSV inlet/outlet gasket set,1.0,SET
40000081,GSK-316-SW-28,316 SS spiral wound gasket,2.0,EA
40000081,BLT-B7-58-8UN,ASTM A193 B7 stud bolt set,1.0,SET
40000081,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000082,GSK-SPIR-MANWAY,Manway spiral wound gasket,2.0,EA
40000082,BLT-B7-MANWAY,Manway stud bolt set,1.0,SET
40000083,PSV-GASK-300-4,PSV inlet/outlet gasket set,1.0,SET
40000084,GSK-316-SW-20,316 SS spiral wound gasket,2.0,EA
40000084,BLT-B7-34-10UN,ASTM A193 B7 stud bolt set,1.0,SET
40000084,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000085,GSK-316-SW-16,316 SS spiral wound gasket,2.0,EA
40000085,BLT-B7-34-10UN,ASTM A193 B7 stud bolt set,1.0,SET
40000085,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000086,GSK-316-SW-20,316 SS spiral wound gasket,2.0,EA
40000086,BLT-B7-58-8UN,ASTM A193 B7 stud bolt set,1.0,SET
40000086,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000087,GSK-SPIR-MANWAY,Manway spiral wound gasket,2.0,EA
40000087,BLT-B7-MANWAY,Manway stud bolt set,1.0,SET
40000088,GSK-316-SW-24,316 SS spiral wound gasket,2.0,EA
40000088,BLT-B7-78-9UN,ASTM A193 B7 stud bolt set,1.0,SET
40000088,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000089,GSK-316-SW-16,316 SS spiral wound gasket,2.0,EA
40000089,BLT-B7-78-9UN,ASTM A193 B7 stud bolt set,1.0,SET
40000089,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000090,GSK-SPIR-MANWAY,Manway spiral wound gasket,2.0,EA
40000090,BLT-B7-MANWAY,Manway stud bolt set,1.0,SET
40000091,GSK-SPIR-MANWAY,Manway spiral wound gasket,2.0,EA
40000091,BLT-B7-MANWAY,Manway stud bolt set,1.0,SET
40000092,GSK-316-SW-16,316 SS spiral wound gasket,2.0,EA
40000092,BLT-B7-58-8UN,ASTM A193 B7 stud bolt set,1.0,SET
40000092,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000093,PSV-GASK-300-6,PSV inlet/outlet gasket set,1.0,SET
40000094,GSK-SPIR-MANWAY,Manway spiral wound gasket,2.0,EA
40000094,BLT-B7-MANWAY,Manway stud bolt set,1.0,SET
40000095,GSK-316-SW-20,316 SS spiral wound gasket,2.0,EA
40000095,BLT-B7-58-8UN,ASTM A193 B7 stud bolt set,1.0,SET
40000095,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000096,PSV-GASK-300-4,PSV inlet/outlet gasket set,1.0,SET
40000097,GSK-SPIR-MANWAY,Manway spiral wound gasket,2.0,EA
40000097,BLT-B7-MANWAY,Manway stud bolt set,1.0,SET
40000098,GSK-316-SW-16,316 SS spiral wound gasket,2.0,EA
40000098,BLT-B7-78-9UN,ASTM A193 B7 stud bolt set,1.0,SET
40000098,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000099,GSK-316-SW-28,316 SS spiral wound gasket,2.0,EA
40000099,BLT-B7-78-9UN,ASTM A193 B7 stud bolt set,1.0,SET
40000099,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000100,PSV-GASK-150-3,PSV inlet/outlet gasket set,1.0,SET
40000101,GSK-316-SW-24,316 SS spiral wound gasket,2.0,EA
40000101,BLT-B7-34-10UN,ASTM A193 B7 stud bolt set,1.0,SET
40000101,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000102,GSK-SPIR-MANWAY,Manway spiral wound gasket,2.0,EA
40000102,BLT-B7-MANWAY,Manway stud bolt set,1.0,SET
40000103,GSK-316-SW-24,316 SS spiral wound gasket,2.0,EA
40000103,BLT-B7-34-10UN,ASTM A193 B7 stud bolt set,1.0,SET
40000103,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000104,PSV-GASK-300-6,PSV inlet/outlet gasket set,1.0,SET
40000105,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000105,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000106,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000106,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000107,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000107,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000108,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000108,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000109,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000110,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000111,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000112,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000113,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000114,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000115,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000116,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000117,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000118,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000119,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000120,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000121,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000122,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000123,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000124,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000125,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000126,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000127,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000128,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000129,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000130,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000131,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000132,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000133,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000134,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000135,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000136,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000136,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000137,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000137,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000138,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000138,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000139,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000139,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000140,BRG-6309-2RS,Pump bearing,2.0,EA
40000140,OIL-ISO-VG46,ISO VG 46 turbine oil,8.0,L
40000141,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000141,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000142,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000142,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000143,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000143,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000144,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000144,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000145,SEAL-C-45-A,Cartridge mechanical seal,1.0,EA
40000145,O-RING-VIT-2,Viton O-ring kit,1.0,KIT
40000146,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000146,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000147,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000147,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000148,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000148,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000149,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000149,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000150,GSK-316-SW-20,316 SS spiral wound gasket,2.0,EA
40000150,BLT-B7-34-10UN,ASTM A193 B7 stud bolt set,1.0,SET
40000150,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000151,BRG-NU309,Pump bearing,2.0,EA
40000151,OIL-ISO-VG46,ISO VG 46 turbine oil,8.0,L
40000152,GSK-316-SW-16,316 SS spiral wound gasket,2.0,EA
40000152,BLT-B7-78-9UN,ASTM A193 B7 stud bolt set,1.0,SET
40000152,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000153,SEAL-C-35-A,Cartridge mechanical seal,1.0,EA
40000153,O-RING-VIT-2,Viton O-ring kit,1.0,KIT
40000154,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000154,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000155,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000155,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000156,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000156,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000157,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000157,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000158,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000158,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000159,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000159,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000160,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000160,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000161,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000161,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000162,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000162,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000163,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000163,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000164,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000164,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000165,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000165,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000166,GSK-316-SW-20,316 SS spiral wound gasket,2.0,EA
40000166,BLT-B7-58-8UN,ASTM A193 B7 stud bolt set,1.0,SET
40000166,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000167,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000168,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000169,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000170,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000171,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000172,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000173,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000174,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000175,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000176,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000177,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000178,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000179,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000180,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000181,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000182,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000183,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000184,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000185,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000186,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000187,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000188,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000189,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000190,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000191,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000192,INSP-UT-COUPLANT,UT couplant,1.0,BT
40000193,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000194,VP-PACK-PTFE-6,Valve packing set,1.0,SET
40000194,VP-SEAT-316-4,Valve seat ring,1.0,EA
40000195,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000195,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000196,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000196,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000197,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000197,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000198,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000198,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000199,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000199,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000200,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000200,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000201,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000201,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000202,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000202,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000203,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000203,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000204,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000204,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000205,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000205,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000206,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000206,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000207,BRG-6309-2RS,Pump bearing,2.0,EA
40000207,OIL-ISO-VG46,ISO VG 46 turbine oil,8.0,L
40000208,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000208,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000209,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000209,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000210,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000210,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000211,OIL-ISO-VG46,ISO VG 46 turbine oil,4.0,L
40000211,GRS-NLGI2,NLGI 2 bearing grease,0.2,KG
40000212,SEAL-C-45-A,Cartridge mechanical seal,1.0,EA
40000212,O-RING-VIT-2,Viton O-ring kit,1.0,KIT
40000213,GSK-SPIR-MANWAY,Manway spiral wound gasket,2.0,EA
40000213,BLT-B7-MANWAY,Manway stud bolt set,1.0,SET
40000214,PSV-GASK-300-6,PSV inlet/outlet gasket set,1.0,SET
40000215,GSK-316-SW-24,316 SS spiral wound gasket,2.0,EA
40000215,BLT-B7-34-10UN,ASTM A193 B7 stud bolt set,1.0,SET
40000215,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000216,GSK-316-SW-20,316 SS spiral wound gasket,2.0,EA
40000216,BLT-B7-58-8UN,ASTM A193 B7 stud bolt set,1.0,SET
40000216,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000217,GSK-316-SW-28,316 SS spiral wound gasket,2.0,EA
40000217,BLT-B7-78-9UN,ASTM A193 B7 stud bolt set,1.0,SET
40000217,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000218,GSK-316-SW-20,316 SS spiral wound gasket,2.0,EA
40000218,BLT-B7-58-8UN,ASTM A193 B7 stud bolt set,1.0,SET
40000218,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000219,GSK-316-SW-28,316 SS spiral wound gasket,2.0,EA
40000219,BLT-B7-58-8UN,ASTM A193 B7 stud bolt set,1.0,SET
40000219,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000220,PSV-GASK-300-4,PSV inlet/outlet gasket set,1.0,SET
40000221,GSK-SPIR-MANWAY,Manway spiral wound gasket,2.0,EA
40000221,BLT-B7-MANWAY,Manway stud bolt set,1.0,SET
40000222,GSK-316-SW-16,316 SS spiral wound gasket,2.0,EA
40000222,BLT-B7-78-9UN,ASTM A193 B7 stud bolt set,1.0,SET
40000222,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000223,GSK-316-SW-24,316 SS spiral wound gasket,2.0,EA
40000223,BLT-B7-78-9UN,ASTM A193 B7 stud bolt set,1.0,SET
40000223,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000224,PSV-GASK-150-3,PSV inlet/outlet gasket set,1.0,SET
40000225,PSV-GASK-150-3,PSV inlet/outlet gasket set,1.0,SET
40000226,GSK-316-SW-20,316 SS spiral wound gasket,2.0,EA
40000226,BLT-B7-34-10UN,ASTM A193 B7 stud bolt set,1.0,SET
40000226,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000227,GSK-316-SW-16,316 SS spiral wound gasket,2.0,EA
40000227,BLT-B7-34-10UN,ASTM A193 B7 stud bolt set,1.0,SET
40000227,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000228,GSK-316-SW-24,316 SS spiral wound gasket,2.0,EA
40000228,BLT-B7-34-10UN,ASTM A193 B7 stud bolt set,1.0,SET
40000228,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000229,PSV-GASK-300-6,PSV inlet/outlet gasket set,1.0,SET
40000230,GSK-SPIR-MANWAY,Manway spiral wound gasket,2.0,EA
40000230,BLT-B7-MANWAY,Manway stud bolt set,1.0,SET
40000231,GSK-SPIR-MANWAY,Manway spiral wound gasket,2.0,EA
40000231,BLT-B7-MANWAY,Manway stud bolt set,1.0,SET
40000232,GSK-316-SW-16,316 SS spiral wound gasket,2.0,EA
40000232,BLT-B7-58-8UN,ASTM A193 B7 stud bolt set,1.0,SET
40000232,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000233,GSK-SPIR-MANWAY,Manway spiral wound gasket,2.0,EA
40000233,BLT-B7-MANWAY,Manway stud bolt set,1.0,SET
40000234,PSV-GASK-300-4,PSV inlet/outlet gasket set,1.0,SET
40000235,GSK-SPIR-MANWAY,Manway spiral wound gasket,2.0,EA
40000235,BLT-B7-MANWAY,Manway stud bolt set,1.0,SET
40000236,GSK-SPIR-MANWAY,Manway spiral wound gasket,2.0,EA
40000236,BLT-B7-MANWAY,Manway stud bolt set,1.0,SET
40000237,GSK-316-SW-16,316 SS spiral wound gasket,2.0,EA
40000237,BLT-B7-78-9UN,ASTM A193 B7 stud bolt set,1.0,SET
40000237,GRF-FLEX-1,Flexible graphite packing ring,8.0,EA
40000238,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000239,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000240,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000241,INST-AIR-FLT,Instrument air filter element,1.0,EA
40000242,INST-AIR-FLT,Instrument air filter element,1.0,EA
