insp_id,tag_dwg,insp_date,insp_type,finding_text,fouling_pct,wall_min_mm,vib_mm_s,severity,recommendation,next_insp_due
INS-2019-0013,101-P-001B,2019-04-22,VIBRATION,Crude charge pump B (P-101B) vibration inspection conducted on 2019-04-22 showed a vibration level of 1.64 mm/s. The pump was operating in crude charge to heater service. No abnormal vibration patterns were observed during the check of the lube seal.,,,0.54,LOW,No action,2019-07-22
INS-2019-0014,101-P-002A,2019-04-22,VIBRATION,Desalter water pump A (P-102A) was inspected for vibration on 2019-04-22. Vibration reading recorded at 2.27 mm/s. Equipment is in service for desalter wash water. Work order referenced: VIB CHECK LUBE SEAL INSP.,,,0.54,LOW,No action,2019-07-22
INS-2019-0015,101-P-004B,2019-04-22,VIBRATION,Atmospheric residue bottoms pump B (P-104B) operating in column bottoms service was inspected for vibration on 2019-04-22. Vibration measurement recorded at 2.19 mm/s. No abnormal vibration levels observed during the inspection. Equipment condition appears stable based on current vibration data.,,,2.52,LOW,No action,2019-07-22
INS-2019-0016,101-P-005A,2019-04-22,VIBRATION,Naphtha product pump A (P-105A) was inspected for vibration on 2019-04-22. The vibration reading recorded was 3.03 mm/s. The inspection was conducted in relation to the lubrication seal condition.,,,0.57,LOW,No action,2019-07-22
INS-2019-0017,101-P-002B,2019-04-23,VIBRATION,Desalter water pump B (P-102B) was inspected for vibration on 2019-04-23. The vibration reading recorded was 1.92 mm/s. The pump is in service for desalter wash water. The most recent work order involved vibration check and lubrication seal inspection.,,,2.51,LOW,No action,2019-07-23
INS-2019-0018,101-P-003A,2019-04-23,VIBRATION,Overhead reflux pump A (P-103A) was inspected for vibration on 2019-04-23. Vibration velocity measured 2.6 mm/s. The pump is in column overhead reflux service. The most recent work order referenced vibration check and lubrication seal inspection.,,,,LOW,No action,2019-07-23
INS-2019-0019,101-P-005B,2019-04-23,VIBRATION,Naphtha product pump B (P-105B) was inspected for vibration on 2019-04-23. Vibration reading recorded at 1.87 mm/s. Equipment operating in naphtha rundown service. No abnormal vibration levels detected during this inspection.,,,2.37,LOW,No action,2019-07-23
INS-2019-0020,101-P-006A,2019-04-23,VIBRATION,Diesel product pump A (P-106A) was inspected for vibration on 2019-04-23 during diesel rundown service. Vibration readings recorded at the pump were 3.18 mm/s. The pump and associated components appeared intact with no visible abnormalities. Previous work order indicated a vibration check and lubrication seal inspection.,,,0.54,LOW,No action,2019-07-23
INS-2019-0021,101-P-003B,2019-04-24,VIBRATION,Overhead reflux pump B (P-103B) was inspected for vibration on 2019-04-24. Vibration reading recorded at 2.94 mm/s. Equipment operating within expected parameters during column overhead reflux service. Lube seal condition verified as part of routine vibration check.,,,0.57,LOW,No action,2019-07-24
INS-2019-0022,101-P-004A,2019-04-24,VIBRATION,Atmospheric residue bottoms pump A (P-104A) was inspected on 2019-04-24 for vibration levels. The vibration reading recorded was 2.35 mm/s. The inspection included a vibration check and lubrication seal inspection as per work order. No abnormalities were observed during the assessment.,,,0.56,LOW,No action,2019-07-24
INS-2019-0023,101-P-006B,2019-04-24,VIBRATION,Diesel product pump B (P-106B) was inspected for vibration on 2019-04-24 during diesel rundown service. The vibration reading recorded was 1.96 mm/s. No abnormal vibration levels were observed at the time of inspection. The pump was operating within expected parameters.,,,2.41,LOW,No action,2019-07-24
INS-2019-0024,101-P-001A,2019-05-05,VIBRATION,Crude charge pump A (P-101A) was inspected for vibration on 2019-05-05. Vibration velocity measured 5.06 mm/s. The pump is in crude charge service to the heater. Previous maintenance included a vibration check and lube seal inspection.,,,5.01,MEDIUM,Increase monitoring frequency,2019-08-04
INS-2019-0025,101-C-001,2019-05-09,UT_THICKNESS,The atmospheric distillation column C-101 was inspected using ultrasonic thickness measurement on 2019-05-09. The minimum wall thickness recorded was 13.83 mm. No anomalies or deviations from expected thickness values were observed during the inspection. The equipment is currently in crude fractionation service as per drawing 101-C-001.,,13.83,,LOW,No action,2020-05-08
INS-2019-0026,101-D-001,2019-05-10,UT_THICKNESS,The overhead reflux drum (D-101) was inspected using ultrasonic thickness measurement on 2019-05-10. The minimum wall thickness recorded was 11.89 mm. The equipment is serving as an overhead accumulator. The inspection was conducted in conjunction with an external inspection of the lube condition.,,11.89,,LOW,No action,2020-05-09
INS-2019-0027,101-E-001,2019-05-11,UT_THICKNESS,The crude/atmospheric residue preheat exchanger #1 (E-101) was inspected using UT thickness measurement on 2019-05-11. The minimum wall thickness recorded was 6.28 mm. No other anomalies were observed during the inspection.,,6.28,,LOW,No action,2020-05-10
INS-2019-0028,101-E-010,2019-05-11,UT_THICKNESS,The kerosene stripper reboiler (E-110) was inspected using ultrasonic thickness measurement on 2019-05-11. The minimum wall thickness recorded was 5.92 mm. No other anomalies or deviations from expected measurements were observed during the inspection.,,5.92,,MEDIUM,"Monitor, re-UT in 12 months",2020-05-10
INS-2019-0029,101-V-001,2019-05-11,UT_THICKNESS,Ultrasonic thickness inspection performed on Electrostatic Desalter V-101 on 2019-05-11 indicated a minimum wall thickness of 11.42 mm. The inspection was conducted in accordance with drawing 101-V-001. No visible external corrosion or pitting was observed at the measurement locations. The equipment is in crude desalting service.,,11.42,,MEDIUM,"Monitor, re-UT in 12 months",2020-05-10
INS-2019-0030,103-D-012,2019-05-11,UT_THICKNESS,The kerosene stripper (D-102) was inspected using ultrasonic thickness measurements on 2019-05-11. The minimum wall thickness recorded was 11.86 mm. No anomalies or deviations from expected thickness values were observed during the inspection.,,11.86,,LOW,No action,2020-05-10
INS-2019-0031,101-D-003,2019-05-12,UT_THICKNESS,The diesel stripper D-103 was inspected using ultrasonic thickness measurement on 2019-05-12. The minimum wall thickness recorded was 11.94 mm. No visible external damage or corrosion was observed at the inspection locations. The equipment is in service for diesel stripping as per drawing 101-D-003.,,11.94,,LOW,No action,2020-05-11
INS-2019-0032,101-E-002,2019-05-12,UT_THICKNESS,Ultrasonic thickness inspection performed on crude/atmospheric residue preheat exchanger #2 (E-102) on 2019-05-12 indicated a minimum wall thickness of 6.11 mm. The equipment is in crude preheat service as per drawing 101-E-002. No additional anomalies or deviations were recorded during this inspection.,,6.11,,LOW,No action,2020-05-11
INS-2019-0033,101-E-011,2019-05-12,UT_THICKNESS,"The Diesel Product / BFW exchanger (E-111, drawing 101-E-011) was inspected on 2019-05-12 using ultrasonic thickness measurement. The minimum wall thickness recorded was 6.18 mm. The equipment is used for diesel product cooling. The inspection was performed following the EXT INSP LUBE CONDITION work order.",,6.18,,LOW,No action,2020-05-11
INS-2019-0034,101-D-004,2019-05-13,UT_THICKNESS,"The residue flash drum (D-104, drawing 101-D-004) was inspected using ultrasonic thickness testing on 2019-05-13. The minimum wall thickness recorded was 11.82 mm. The equipment was in residue flash service at the time of inspection. The most recent work order referenced external inspection and lube condition.",,11.82,,LOW,No action,2020-05-12
INS-2019-0035,101-E-003,2019-05-13,UT_THICKNESS,The crude/kerosene pumparound preheat exchanger #3 (E-103) was inspected using ultrasonic thickness measurement on 2019-05-13. The minimum wall thickness recorded was 6.08 mm. No visible external damage or corrosion was observed during the inspection. The equipment is in crude preheat and kerosene pumparound service as per drawing 101-E-003.,,6.08,,LOW,No action,2020-05-12
INS-2019-0036,101-E-012,2019-05-13,UT_THICKNESS,"The residue rundown cooler (E-112, drawing 101-E-012) was inspected using ultrasonic thickness measurement on 2019-05-13. The minimum wall thickness recorded was 6.27 mm. The equipment is in atmospheric residue rundown service. The most recent work order referenced external inspection of lube condition.",,6.27,,LOW,No action,2020-05-12
INS-2019-0037,101-E-004,2019-05-14,UT_THICKNESS,Ultrasonic thickness measurement performed on crude/diesel pumparound preheat exchanger #4 (E-104) on 2019-05-14 indicates a minimum wall thickness of 6.08 mm. The equipment is in crude preheat/diesel pumparound service. No visible external damage or corrosion was observed during the inspection.,,6.08,,LOW,No action,2020-05-13
INS-2019-0038,101-H-001,2019-05-14,UT_THICKNESS,The crude fired heater H-101 was inspected using ultrasonic thickness measurement on 2019-05-14. The minimum wall thickness recorded was 6.32 mm. No visible signs of external damage or corrosion were observed during the inspection. The equipment appeared to be in stable condition consistent with normal operating parameters.,,6.32,,LOW,No action,2020-05-13
INS-2019-0039,101-E-015,2019-05-15,UT_THICKNESS,Ultrasonic thickness inspection performed on crude/AGO product preheat exchanger #5 (E-105) on 2019-05-15 showed a minimum wall thickness of 6.2 mm. The exchanger is in crude preheat/AGO service as per drawing 101-E-015. No anomalies or deviations from expected thickness values were noted during this inspection.,,6.2,,LOW,No action,2020-05-14
INS-2019-0040,101-E-006,2019-05-16,UT_THICKNESS,The crude/atmospheric residue preheat exchanger #6 (E-106) was inspected on 2019-05-16 using ultrasonic thickness measurement. The minimum wall thickness recorded was 6.27 mm. The exchanger is operating in the crude preheat cold end service. The most recent related work order referenced external inspection of lube condition.,,6.27,,LOW,No action,2020-05-15
INS-2019-0041,101-E-007,2019-05-17,UT_THICKNESS,Ultrasonic thickness measurement performed on the overhead naphtha condenser (E-107) revealed a minimum wall thickness of 6.27 mm. The inspection was conducted on 2019-05-17 in the column overhead condensing service. No visible external damage or corrosion was noted at the time of inspection.,,6.27,,LOW,No action,2020-05-16
INS-2019-0042,101-E-008A,2019-05-18,UT_THICKNESS,The overhead trim condenser (two-bundle) E-108 was inspected using ultrasonic thickness testing on 2019-05-18. The minimum wall thickness recorded was 6.23 mm. The equipment is used in the column overhead trim service. The inspection corresponds with the most recent work order for external inspection of lube condition.,,6.23,,LOW,No action,2020-05-17
INS-2019-0043,101-E-009,2019-05-19,UT_THICKNESS,Ultrasonic thickness inspection of Naphtha/Crude Interchanger (E-109) conducted on 2019-05-19 revealed a minimum wall thickness of 6.23 mm. The equipment is operating in naphtha product and crude service. No visible external damage or corrosion was observed during the inspection.,,6.23,,LOW,No action,2020-05-18
INS-2019-0044,101-P-001B,2019-07-22,VIBRATION,Crude charge pump B (P-101B) was inspected for vibration on 2019-07-22. Vibration reading recorded at 3.33 mm/s. Equipment observed in normal operating condition with no abnormal noise or movement detected. Lube seal area inspected as per work order VIB CHECK LUBE SEAL INSP.,,,0.54,LOW,No action,2019-10-21
INS-2019-0045,101-P-002A,2019-07-22,VIBRATION,Desalter wash water pump P-102A was inspected for vibration on 2019-07-22. Vibration reading recorded was 3.09 mm/s. The pump was under the scope of a vibration check and lubrication seal inspection as per the latest work order. No visible abnormalities were noted during the inspection.,,,2.44,LOW,No action,2019-10-21
INS-2019-0046,101-P-004B,2019-07-22,VIBRATION,Atmospheric residue bottoms pump B (P-104B) was inspected on 2019-07-22 for vibration levels. The vibration reading recorded was 2.28 mm/s. The pump is operating in column bottoms service. The most recent related work order involved a vibration check and lubrication seal inspection.,,,0.52,LOW,No action,2019-10-21
INS-2019-0047,101-P-005A,2019-07-22,VIBRATION,Naphtha product pump A (P-105A) was inspected for vibration on 2019-07-22. Vibration reading recorded at 3.3 mm/s. The inspection was conducted in relation to the lubrication seal condition. No visible abnormalities noted on external components.,,,2.3,LOW,No action,2019-10-21
INS-2019-0048,101-P-002B,2019-07-23,VIBRATION,Desalter water pump B (P-102B) vibration measurement recorded at 2.68 mm/s during inspection on 2019-07-23. Equipment is operating within expected vibration parameters. No abnormal vibration levels detected at the time of inspection.,,,0.54,LOW,No action,2019-10-22
INS-2019-0049,101-P-003A,2019-07-23,VIBRATION,Overhead reflux pump A (P-103A) was inspected for vibration on 2019-07-23. Vibration reading recorded at 4.09 mm/s. The pump is in service for column overhead reflux. Previous work order involved vibration check and lubrication seal inspection.,,,,MEDIUM,Increase monitoring frequency,2019-10-22
INS-2019-0050,101-P-005B,2019-07-23,VIBRATION,Naphtha product pump B (P-105B) was inspected on 2019-07-23 for vibration levels during naphtha rundown service. The vibration reading recorded was 3.29 mm/s. The inspection was conducted following the work order for vibration check and lubrication seal inspection. No abnormalities were observed in the equipment condition at the time of inspection.,,,0.54,LOW,No action,2019-10-22
INS-2019-0051,101-P-006A,2019-07-23,VIBRATION,Diesel product pump A (P-106A) was inspected for vibration on 2019-07-23. The vibration reading recorded was 2.11 mm/s. The inspection was conducted as part of the routine vibration check and lube seal inspection. No abnormalities were noted in the equipment condition during the assessment.,,,2.44,LOW,No action,2019-10-22
INS-2019-0052,101-P-003B,2019-07-24,VIBRATION,Overhead reflux pump B (P-103B) was inspected for vibration on 2019-07-24. Vibration measurement recorded at 3.07 mm/s. The pump is in column overhead reflux service as per drawing 101-P-003B. Previous work order noted lubrication seal inspection and vibration check.,,,0.5,LOW,No action,2019-10-23
INS-2019-0053,101-P-004A,2019-07-24,VIBRATION,Atmospheric residue bottoms pump A (P-104A) vibration measured at 1.69 mm/s during inspection on 2019-07-24. Vibration levels are within acceptable range. Equipment operating in column bottoms service as per drawing 101-P-004A. Recent maintenance included lubrication seal inspection.,,,2.44,LOW,No action,2019-10-23
INS-2019-0054,101-P-006B,2019-07-24,VIBRATION,Diesel product pump B (P-106B) operating in diesel rundown service was inspected for vibration on 2019-07-24. Vibration measurement recorded at 1.82 mm/s. Visual inspection showed no abnormalities on the pump housing or mounting. Seal lubrication was checked as per recent work order.,,,2.34,LOW,No action,2019-10-23
INS-2019-0055,101-P-001A,2019-08-04,VIBRATION,Crude charge pump A (P-101A) was inspected for vibration on 2019-08-04. The vibration reading recorded was 6.8 mm/s. The equipment is in service for crude charge to heater as per drawing 101-P-001A. The most recent work order referenced a vibration check and lubrication seal inspection.,,,6.84,HIGH,Replace bearings,2019-11-03
INS-2019-0056,101-P-001B,2019-10-21,VIBRATION,Crude charge pump B (P-101B) was inspected for vibration on 2019-10-21. Vibration reading recorded at 2.47 mm/s. Equipment is operating within expected parameters. Work order indicates recent lubrication seal inspection.,,,0.54,LOW,No action,2020-01-20
INS-2019-0057,101-P-002A,2019-10-21,VIBRATION,Desalter water pump A (P-102A) was inspected for vibration on 2019-10-21. Vibration reading recorded at 3.05 mm/s. Equipment corresponds to drawing 101-P-002A. Service confirmed as desalter wash water. Work order notes indicate vibration check and lubrication seal inspection performed.,,,2.42,LOW,No action,2020-01-20
INS-2019-0058,101-P-004B,2019-10-21,VIBRATION,Atmospheric residue bottoms pump B (P-104B) was inspected for vibration on 2019-10-21. The vibration reading recorded was 2.83 mm/s. The equipment is in column bottoms service. The most recent work order noted a vibration check and lubrication seal inspection.,,,0.58,LOW,No action,2020-01-20
INS-2019-0059,101-P-005A,2019-10-21,VIBRATION,Naphtha product pump A (P-105A) in naphtha rundown service was inspected for vibration on 2019-10-21. Vibration reading recorded at 2.06 mm/s. Work order referenced for vibration check and lubrication seal inspection.,,,2.4,LOW,No action,2020-01-20
INS-2019-0060,101-P-002B,2019-10-22,VIBRATION,Desalter water pump B (P-102B) vibration measurement recorded at 3.17 mm/s on 2019-10-22. Inspection focused on vibration levels related to lubrication seal condition. No abnormal vibration detected during this assessment.,,,0.58,LOW,No action,2020-01-21
INS-2019-0061,101-P-003A,2019-10-22,VIBRATION,Overhead reflux pump A (P-103A) was inspected for vibration on 2019-10-22. The vibration reading recorded was 6.0 mm/s. The inspection was conducted in conjunction with a lubrication seal check.,,,6.01,HIGH,Replace bearings,2020-01-21
INS-2019-0062,101-P-005B,2019-10-22,VIBRATION,Naphtha product pump B (P-105B) operating in naphtha rundown service was inspected for vibration on 2019-10-22. Vibration amplitude measured at 2.39 mm/s. Visual inspection showed no abnormalities in the pump housing or seals. Lubrication seal condition appeared intact during the check.,,,0.58,LOW,No action,2020-01-21
INS-2019-0063,101-P-006A,2019-10-22,VIBRATION,Diesel product pump A (P-106A) operating in diesel rundown service was inspected for vibration on 2019-10-22. Vibration measurement recorded at 3.11 mm/s. Visual inspection of the lubrication seal area was conducted as per the recent work order. No abnormalities noted during the inspection.,,,2.45,LOW,No action,2020-01-21
INS-2019-0064,101-P-003B,2019-10-23,VIBRATION,Overhead reflux pump B (P-103B) was inspected for vibration on 2019-10-23. Vibration reading recorded at 1.79 mm/s. Visual inspection showed no abnormal wear or damage to the pump components. Lubrication seal condition appeared intact during the check.,,,0.55,LOW,No action,2020-01-22
INS-2019-0065,101-P-004A,2019-10-23,VIBRATION,Atmospheric residue bottoms pump A (P-104A) was inspected for vibration on 2019-10-23. The vibration reading recorded was 2.27 mm/s. The pump is in column bottoms service as per drawing 101-P-004A. The most recent work order involved a vibration check and lubrication seal inspection.,,,2.24,LOW,No action,2020-01-22
INS-2019-0066,101-P-006B,2019-10-23,VIBRATION,"Diesel product pump B (P-106B) was inspected on 2019-10-23 for vibration levels during diesel rundown service. Vibration measurement recorded at 2.51 mm/s. The inspection was conducted following the work order titled ""VIB CHECK LUBE SEAL INSP."" No abnormalities were noted visually on the pump casing or mounting.",,,0.54,LOW,No action,2020-01-22
INS-2019-0067,101-P-001A,2019-11-03,VIBRATION,Crude charge pump A (P-101A) was inspected for vibration on 2019-11-03. Vibration reading recorded at 2.88 mm/s. Equipment observed in operational condition with no visible abnormalities at the time of inspection.,,,2.45,LOW,No action,2020-02-02
INS-2020-0068,101-P-001B,2020-01-20,VIBRATION,Crude charge pump B (P-101B) was inspected for vibration on 2020-01-20. Vibration reading recorded at 3.01 mm/s. Equipment is operating within expected parameters. No abnormal vibration detected during inspection.,,,2.43,LOW,No action,2020-04-20
INS-2020-0069,101-P-002A,2020-01-20,VIBRATION,Desalter water pump A (P-102A) was inspected for vibration on 2020-01-20. The measured vibration level was 2.17 mm/s. The pump is in service for desalter wash water. Recent maintenance included replacement of the mechanical seal.,,,0.56,LOW,No action,2020-04-20
INS-2020-0070,101-P-004B,2020-01-20,VIBRATION,The atmospheric residue bottoms pump B (P-104B) was inspected for vibration on 2020-01-20. The vibration reading recorded was 2.13 mm/s. The pump is in column bottoms service as per drawing 101-P-004B. The most recent work order involved a vibration check and lubrication seal inspection.,,,2.35,LOW,No action,2020-04-20
INS-2020-0071,101-P-005A,2020-01-20,VIBRATION,Naphtha product pump A (P-105A) was inspected for vibration on 2020-01-20. Vibration readings recorded at the seal area showed 2.66 mm/s. The pump is in naphtha rundown service as per drawing 101-P-005A. Previous work order indicates a vibration check and lubrication seal inspection was performed.,,,0.59,LOW,No action,2020-04-20
INS-2020-0072,101-P-002B,2020-01-21,VIBRATION,Desalter water pump B (P-102B) was inspected for vibration on 2020-01-21. Vibration reading recorded at 1.95 mm/s. No abnormal vibration levels observed during the inspection. Equipment operating within normal parameters.,,,2.44,LOW,No action,2020-04-21
INS-2020-0073,101-P-003A,2020-01-21,VIBRATION,Overhead reflux pump A (P-103A) was inspected on 2020-01-21 for vibration levels. The measured vibration velocity was 2.14 mm/s. The pump is in service for column overhead reflux. The most recent maintenance involved replacement of the bearing and coupling.,,,2.05,LOW,No action,2020-04-21
INS-2020-0074,101-P-005B,2020-01-21,VIBRATION,Naphtha product pump B (P-105B) vibration inspection conducted on 2020-01-21 showed a vibration level of 2.29 mm/s. The equipment is in naphtha rundown service as per drawing 101-P-005B. The most recent work order involved a vibration check and lubrication seal inspection.,,,2.52,LOW,No action,2020-04-21
INS-2020-0075,101-P-006A,2020-01-21,VIBRATION,Diesel product pump A (P-106A) was inspected for vibration on 2020-01-21. Vibration velocity measured 1.79 mm/s. No abnormal vibration levels detected during the diesel rundown service.,,,0.53,LOW,No action,2020-04-21
INS-2020-0076,101-P-003B,2020-01-22,VIBRATION,Overhead reflux pump B (P-103B) was inspected for vibration on 2020-01-22. Vibration level recorded at 1.72 mm/s. Equipment was operating under normal conditions during inspection. No abnormal noise or movement observed.,,,0.56,LOW,No action,2020-04-22
INS-2020-0077,101-P-004A,2020-01-22,VIBRATION,Atmospheric residue bottoms pump A (P-104A) vibration measured at 2.54 mm/s during inspection on 2020-01-22. The pump is operating in column bottoms service. Vibration levels are within expected range for this equipment. Previous work order involved vibration check and lube seal inspection.,,,0.55,LOW,No action,2020-04-22
INS-2020-0078,101-P-006B,2020-01-22,VIBRATION,The diesel product pump B (P-106B) was inspected for vibration on 2020-01-22. Vibration readings indicated a level of 2.94 mm/s. The pump was operating in diesel rundown service at the time of inspection. No abnormal vibration trends were observed during the assessment.,,,2.53,LOW,No action,2020-04-22
INS-2020-0079,101-P-001A,2020-02-02,VIBRATION,Crude charge pump A (P-101A) was inspected for vibration on 2020-02-02. The vibration reading recorded was 2.65 mm/s. The pump is in service for crude charge to heater. Previous maintenance included a vibration check and lube seal inspection.,,,0.62,LOW,No action,2020-05-03
INS-2020-0080,101-P-001B,2020-04-20,VIBRATION,Crude charge pump B (P-101B) was inspected for vibration on 2020-04-20. Vibration level measured at 1.75 mm/s. Equipment is in crude charge to heater service. Previous work order involved vibration check and lubrication seal inspection.,,,0.56,LOW,No action,2020-07-20
INS-2020-0081,101-P-002A,2020-04-20,VIBRATION,Desalter water pump A (P-102A) was inspected for vibration on 2020-04-20. The vibration reading recorded was 3.32 mm/s. The inspection was conducted as part of a vibration check on the lube seal. No visible abnormalities were noted during the inspection.,,,2.37,LOW,No action,2020-07-20
INS-2020-0082,101-P-004B,2020-04-20,VIBRATION,Atmospheric residue bottoms pump B (P-104B) was inspected for vibration on 2020-04-20. The vibration reading recorded was 3.31 mm/s. No abnormalities were observed during the inspection. Equipment is operating within expected vibration parameters.,,,0.52,LOW,No action,2020-07-20
INS-2020-0083,101-P-005A,2020-04-20,VIBRATION,Naphtha product pump A (P-105A) was inspected for vibration on 2020-04-20. The vibration reading recorded was 1.77 mm/s. The pump is in naphtha rundown service. The most recent maintenance involved replacement of the mechanical seal.,,,2.4,LOW,No action,2020-07-20
INS-2020-0084,101-P-002B,2020-04-21,VIBRATION,Desalter water pump B (P-102B) vibration measurement recorded at 2.16 mm/s during the inspection on 2020-04-21. The equipment is operating within expected vibration levels. No abnormal vibration patterns observed at the time of inspection.,,,0.53,LOW,No action,2020-07-21
INS-2020-0085,101-P-003A,2020-04-21,VIBRATION,Overhead reflux pump A (P-103A) vibration measurement recorded at 2.44 mm/s during inspection on 2020-04-21. Equipment operating in column overhead reflux service. Vibration levels noted as per standard monitoring procedure. Work order indicates recent lubrication seal inspection.,,,2.53,LOW,No action,2020-07-21
INS-2020-0086,101-P-005B,2020-04-21,VIBRATION,Naphtha product pump B (P-105B) was inspected for vibration on 2020-04-21. The vibration reading recorded was 2.91 mm/s. No abnormalities or deviations from normal operating conditions were observed during the inspection. The pump was operating under naphtha rundown service at the time of measurement.,,,0.56,LOW,No action,2020-07-21
INS-2020-0087,101-P-006A,2020-04-21,VIBRATION,Diesel product pump A (P-106A) was inspected for vibration on 2020-04-21. Vibration reading recorded at 3.4 mm/s. Equipment observed in normal operating condition with no abnormal noise or movement detected during inspection.,,,2.53,LOW,No action,2020-07-21
INS-2020-0088,101-P-003B,2020-04-22,VIBRATION,"Overhead reflux pump B (P-103B) was inspected for vibration on 2020-04-22. The vibration reading recorded was 2.67 mm/s. The pump is in service for column overhead reflux. Recent maintenance included vibration check, lubrication, seal inspection.",,,0.55,LOW,No action,2020-07-22
INS-2020-0089,101-P-004A,2020-04-22,VIBRATION,Atmospheric residue bottoms pump A (P-104A) was inspected for vibration on 2020-04-22. Vibration reading recorded at 1.78 mm/s. Equipment operates in column bottoms service. No abnormalities observed during inspection.,,,2.29,LOW,No action,2020-07-22
INS-2020-0090,101-P-006B,2020-04-22,VIBRATION,The diesel product pump B (P-106B) was inspected for vibration on 2020-04-22. Vibration amplitude measured 2.73 mm/s. The equipment is in diesel rundown service as per drawing 101-P-006B. The most recent work order referenced a vibration check and lubrication seal inspection.,,,0.6,LOW,No action,2020-07-22
INS-2020-0091,101-P-001A,2020-05-03,VIBRATION,Crude charge pump A (P-101A) was inspected for vibration on 2020-05-03. The vibration reading recorded was 2.43 mm/s. The pump is in service for crude charge to the heater. Previous related work order involved lubrication seal inspection.,,,2.52,LOW,No action,2020-08-02
INS-2020-0092,101-P-001B,2020-07-20,VIBRATION,Crude charge pump B (P-101B) was inspected for vibration on 2020-07-20. Vibration level recorded at 2.48 mm/s. Pump is operating within expected parameters during crude charge to heater service. No abnormal vibration detected at time of inspection.,,,2.5,LOW,No action,2020-10-19
INS-2020-0093,101-P-002A,2020-07-20,VIBRATION,Desalter water pump A (P-102A) vibration measured at 2.12 mm/s during inspection on 2020-07-20. Vibration levels recorded at the lube seal area. Equipment corresponds to drawing 101-P-002A. Service confirmed as desalter wash water.,,,0.57,LOW,No action,2020-10-19
